Topic_name,Question_name,Striver_link,leetcode_link,other_link,gfg_link
Learn the basics,,https://takeuforward.org/arrays/find-the-highest-lowest-frequency-element/,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,https://www.codingninjas.com/studio/problems/k-most-occurrent-numbers_625382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,User Input / Output,,,https://www.codingninjas.com/studio/problems/find-character-case_58513?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Data Types,,,https://www.codingninjas.com/studio/problems/data-type_8357232?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,If Else statements,,,https://www.codingninjas.com/studio/problems/if-else-decision-making_8357235?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Switch Statement,,,https://www.codingninjas.com/studio/problems/switch-case-statement_8357244?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,"What are arrays, strings?",,,,
Learn the basics,For loops,,,https://www.codingninjas.com/studio/problems/nth-fibonacci-number_74156?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,While loops,,,https://www.codingninjas.com/studio/problems/sum-of-even-odd_624650?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Functions (Pass by Reference and Va…,,,https://www.codingninjas.com/codestudio/problems/fa-1-ece_4606261?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,"Time Complexity [Learn Basics, and …",,,,
Learn the basics,Patterns,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/,,,
Learn the basics,C++ STL,https://takeuforward.org/c/c-stl-tutorial-most-frequent-used-stl-containers/,,,
Learn the basics,Java Collections,,,,
Learn the basics,Count Digits,https://takeuforward.org/data-structure/count-digits-in-a-number/,,https://www.codingninjas.com/codestudio/problems/count-digits_8416387?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Reverse a Number,https://takeuforward.org/c-programs/reverse-a-number-in-c/,https://leetcode.com/problems/reverse-integer/,https://www.codingninjas.com/studio/problems/reverse-bits_2181102?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Check Palindrome,https://takeuforward.org/data-structure/check-if-a-number-is-palindrome-or-not/,https://leetcode.com/problems/palindrome-number/,https://www.codingninjas.com/studio/problems/palindrome-number_624662?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,GCD Or HCF,https://takeuforward.org/data-structure/find-gcd-of-two-numbers/,,https://www.codingninjas.com/codestudio/problems/hcf-and-lcm_840448?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Armstrong Numbers,https://takeuforward.org/maths/check-if-a-number-is-armstrong-number-or-not/,https://leetcode.com/problems/armstrong-number/,https://www.codingninjas.com/studio/problems/check-armstrong_589?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Print all Divisors,https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/,,https://www.codingninjas.com/studio/problems/sum-of-all-divisors_8360720?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Check for Prime,https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/,,https://www.codingninjas.com/studio/problems/check-prime_624934?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Understand recursion by print somet…,https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Print name N times using recursion,https://takeuforward.org/recursion/print-name-n-times-using-recursion/,,https://www.codingninjas.com/studio/problems/-print-n-times_8380707?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Print 1 to N using recursion,https://takeuforward.org/recursion/print-1-to-n-using-recursion/,,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Print N to 1 using recursion,https://takeuforward.org/recursion/print-n-to-1-using-recursion/,,https://www.codingninjas.com/studio/problems/n-to-1-without-loop_8357243?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Sum of first N numbers,https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/,,https://www.codingninjas.com/studio/problems/sum-of-first-n-numbers_8876068?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Factorial of N numbers,https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive/,,https://www.codingninjas.com/studio/problems/factorial-numbers-not-greater-than-n_8365435?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Reverse an array,https://takeuforward.org/data-structure/reverse-a-given-array/,,https://www.codingninjas.com/studio/problems/reverse-an-array_8365444?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Check if a string is palindrome or …,https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/,https://leetcode.com/problems/valid-palindrome/,https://www.codingninjas.com/studio/problems/check-palindrome-recursive_624386?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Fibonacci Number,https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/,https://leetcode.com/problems/fibonacci-number/,https://www.codingninjas.com/studio/problems/print-fibonacci-series_7421617?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn the basics,Hashing Theory,,,,
