Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,,https://www.codingninjas.com/studio/problems/size-of-largest-bst-in-binary-tree_893103?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Introduction to Binary Search Tree,,,https://www.codingninjas.com/studio/problems/binary-search-trees_8160443?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Search in a Binary Search Tree,,https://leetcode.com/problems/search-in-a-binary-search-tree/,https://www.codingninjas.com/studio/problems/search-in-bst_1402878?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find Min/Max in BST,,,https://www.codingninjas.com/studio/problems/minimum-element-in-bst_8160462?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Ceil in a Binary Search Tree,,,https://www.codingninjas.com/studio/problems/ceil-from-bst_920464?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Floor in a Binary Search Tree,,,https://www.codingninjas.com/codestudio/problems/floor-from-bst_625868?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Insert a given Node in Binary Searc…,,https://leetcode.com/problems/insert-into-a-binary-search-tree/,https://www.codingninjas.com/studio/problems/insert-into-a-binary-search-tree_1279913?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Delete a Node in Binary Search Tree,,https://leetcode.com/problems/delete-node-in-a-bst/,https://www.codingninjas.com/studio/problems/delete-node-in-bst_920381?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find K-th smallest/largest element …,https://takeuforward.org/data-structure/kth-largest-smallest-element-in-binary-search-tree/,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,https://www.codingninjas.com/studio/problems/kth-smallest-node-in-bst_920441?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if a tree is a BST or BT,,https://leetcode.com/problems/validate-binary-search-tree/,https://www.codingninjas.com/studio/problems/check-bst_5975?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
LCA in Binary Search Tree,,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,,
Construct a BST from a preorder tra…,,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,https://www.codingninjas.com/studio/problems/construct-bst-from-preorder-traversal_2689307?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Inorder Successor/Predecessor in BS…,,https://leetcode.com/problems/inorder-successor-in-bst/,https://www.codingninjas.com/studio/problems/predecessor-and-successor-in-bst_893049?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Merge 2 BST's,,https://leetcode.com/problems/binary-search-tree-iterator/,https://www.codingninjas.com/studio/problems/merge-two-bsts_920474?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Two Sum In BST | Check if there exi…,,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,https://www.codingninjas.com/studio/problems/pair-sum-in-bst._920493?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Recover BST | Correct BST with two …,,https://leetcode.com/problems/recover-binary-search-tree/,https://www.codingninjas.com/studio/problems/fix-bst_873137?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Largest BST in Binary Tree,,,https://www.codingninjas.com/studio/problems/size-of-largest-bst-in-binary-tree_893103?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
