Question_name,Striver_link,leetcode_link,other_link,gfg_link
,https://takeuforward.org/data-structure/median-of-row-wise-sorted-matrix/,https://www.interviewbit.com/problems/matrix-median/,https://www.codingninjas.com/codestudio/problems/median-of-a-row-wise-sorted-matrix_1115473?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Search to find X in sorted a…,https://takeuforward.org/data-structure/binary-search-explained/,https://leetcode.com/problems/binary-search/,https://www.codingninjas.com/codestudio/problems/binary-search_972?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Lower Bound,https://takeuforward.org/arrays/implement-lower-bound-bs-2/,,https://www.codingninjas.com/codestudio/problems/lower-bound_8165382?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Upper Bound,https://takeuforward.org/arrays/implement-upper-bound/,,https://www.codingninjas.com/studio/problems/implement-upper-bound_8165383?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Search Insert Position,https://takeuforward.org/arrays/search-insert-position/,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.",https://www.codingninjas.com/codestudio/problems/algorithm-to-find-best-insert-position-in-sorted-array_839813?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Floor/Ceil in Sorted Array,https://takeuforward.org/arrays/floor-and-ceil-in-sorted-array/,,https://www.codingninjas.com/studio/problems/ceiling-in-a-sorted-array_1825401?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the first or last occurrence o…,https://takeuforward.org/data-structure/last-occurrence-in-a-sorted-array/,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,https://www.codingninjas.com/codestudio/problems/first-and-last-position-of-an-element-in-sorted-array_1082549?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count occurrences of a number in a …,https://takeuforward.org/data-structure/count-occurrences-in-sorted-array/,,https://www.codingninjas.com/codestudio/problems/occurrence-of-x-in-a-sorted-array_630456?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Search in Rotated Sorted Array I,https://takeuforward.org/data-structure/search-element-in-a-rotated-sorted-array/,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://www.codingninjas.com/codestudio/problems/search-in-rotated-sorted-array_1082554?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Search in Rotated Sorted Array II,https://takeuforward.org/arrays/search-element-in-rotated-sorted-array-ii/,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,https://www.codingninjas.com/codestudio/problems/search-in-a-rotated-sorted-array-ii_7449547?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find minimum in Rotated Sorted Arra…,https://takeuforward.org/data-structure/minimum-in-rotated-sorted-array/,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://www.codingninjas.com/codestudio/problems/rotated-array_1093219?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find out how many times has an arra…,https://takeuforward.org/arrays/find-out-how-many-times-the-array-has-been-rotated/,,https://www.codingninjas.com/codestudio/problems/rotation_7449070?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Single element in a Sorted Array,https://takeuforward.org/data-structure/search-single-element-in-a-sorted-array/,https://leetcode.com/problems/single-element-in-a-sorted-array/,https://www.codingninjas.com/codestudio/problems/unique-element-in-sorted-array_1112654?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find peak element,https://takeuforward.org/data-structure/peak-element-in-array/,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.",https://www.codingninjas.com/codestudio/problems/find-peak-element_1081482?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find square root of a number in log…,https://takeuforward.org/binary-search/finding-sqrt-of-a-number-using-binary-search/,,https://www.codingninjas.com/codestudio/problems/square-root-integral_893351?leftPanelTab=0?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the Nth root of a number using…,https://takeuforward.org/data-structure/nth-root-of-a-number-using-binary-search/,,https://www.codingninjas.com/codestudio/problems/nth-root-of-m_1062679?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Koko Eating Bananas,https://takeuforward.org/binary-search/koko-eating-bananas/,https://leetcode.com/problems/koko-eating-bananas/,https://www.codingninjas.com/codestudio/problems/minimum-rate-to-eat-bananas_7449064?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum days to make M bouquets,https://takeuforward.org/arrays/minimum-days-to-make-m-bouquets/,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,https://www.codingninjas.com/codestudio/problems/rose-garden_2248080?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the smallest Divisor,https://takeuforward.org/arrays/find-the-smallest-divisor-given-a-threshold/,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,https://www.codingninjas.com/codestudio/problems/smallest-divisor-with-the-given-limit_1755882?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Capacity to Ship Packages within D …,https://takeuforward.org/arrays/capacity-to-ship-packages-within-d-days/,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,https://www.codingninjas.com/codestudio/problems/capacity-to-ship-packages-within-d-days_1229379?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kth Missing Positive Number,https://takeuforward.org/arrays/kth-missing-positive-number/,"https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.",https://www.codingninjas.com/codestudio/problems/kth-missing-element_893215?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Aggressive Cows,https://takeuforward.org/data-structure/aggressive-cows-detailed-solution/,https://www.spoj.com/problems/AGGRCOW/,https://www.codingninjas.com/codestudio/problems/aggressive-cows_1082559?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Book Allocation Problem,https://takeuforward.org/data-structure/allocate-minimum-number-of-pages/,https://bit.ly/3MZQOct,https://www.codingninjas.com/codestudio/problems/allocate-books_1090540?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Split array - Largest Sum,https://takeuforward.org/arrays/split-array-largest-sum/,https://leetcode.com/problems/split-array-largest-sum/,https://www.codingninjas.com/codestudio/problems/largest-subarray-sum-minimized_7461751?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Painter's partition,https://takeuforward.org/arrays/painters-partition-problem/,,https://www.codingninjas.com/studio/problems/painter-s-partition-problem_1089557?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimize Max Distance to Gas Statio…,https://takeuforward.org/arrays/minimise-maximum-distance-between-gas-stations/,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,https://www.codingninjas.com/codestudio/problems/minimise-max-distance_7541449?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Median of 2 sorted arrays,https://takeuforward.org/data-structure/median-of-two-sorted-arrays-of-different-sizes/,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://www.codingninjas.com/codestudio/problems/median-of-two-sorted-arrays_985294?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kth element of 2 sorted arrays,https://takeuforward.org/data-structure/k-th-element-of-two-sorted-arrays/,,https://www.codingninjas.com/codestudio/problems/k-th-element-of-2-sorted-array_1164159?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the row with maximum number of…,,,https://www.codingninjas.com/codestudio/problems/row-of-a-matrix-with-maximum-ones_982768?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
