Question_name,Striver_link,leetcode_link,other_link,gfg_link
,https://takeuforward.org/data-structure/flatten-binary-tree-to-linked-list/,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,https://www.codingninjas.com/studio/problems/flatten-binary-tree-to-linked-list_1112615?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Introduction to Trees,,,https://www.codingninjas.com/studio/problems/number-of-nodes_8162204?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Tree Representation in C++,,,https://www.codingninjas.com/codestudio/problems/create-binary-tree_8360671?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Tree Representation in Java,,,https://www.codingninjas.com/codestudio/problems/create-binary-tree_8360671?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary Tree Traversals in Binary Tr…,https://takeuforward.org/binary-tree/binary-tree-traversal-inorder-preorder-postorder/,,https://www.codingninjas.com/codestudio/problems/tree-traversal_981269?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Preorder Traversal of Binary Tree,https://takeuforward.org/data-structure/preorder-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-preorder-traversal/,https://www.codingninjas.com/studio/problems/preorder-binary-tree_5948?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Inorder Traversal of Binary Tree,https://takeuforward.org/data-structure/inorder-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-inorder-traversal/,https://www.codingninjas.com/studio/problems/inorder-traversal_3839605?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Post-order Traversal of Binary Tree,https://takeuforward.org/data-structure/post-order-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-postorder-traversal/,https://www.codingninjas.com/studio/problems/postorder-traversal_2035933?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Level order Traversal / Level order…,https://takeuforward.org/data-structure/level-order-traversal-of-a-binary-tree/,https://leetcode.com/problems/binary-tree-level-order-traversal/,https://www.codingninjas.com/studio/problems/zigzag-binary-tree-traversal_920532?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Iterative Preorder Traversal of Bin…,https://takeuforward.org/data-structure/preorder-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-preorder-traversal/,https://www.codingninjas.com/studio/problems/preorder-binary-tree_5948?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Iterative Inorder Traversal of Bina…,https://takeuforward.org/data-structure/inorder-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-inorder-traversal/,https://www.codingninjas.com/studio/problems/inorder-traversal_3839605?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Post-order Traversal of Binary Tree…,https://takeuforward.org/data-structure/post-order-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-postorder-traversal/,https://www.codingninjas.com/studio/problems/postorder-traversal_2035933?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
"Preorder, Inorder, and Postorder Tr…",https://takeuforward.org/data-structure/preorder-inorder-postorder-traversals-in-one-traversal/,,https://www.codingninjas.com/studio/problems/tree-traversals_981269?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Height of a Binary Tree,https://takeuforward.org/data-structure/maximum-depth-of-a-binary-tree/,https://leetcode.com/problems/maximum-depth-of-binary-tree/,https://www.codingninjas.com/studio/problems/height-of-binary-tree_4609628?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if the Binary tree is height-…,https://takeuforward.org/data-structure/check-if-the-binary-tree-is-balanced-binary-tree/,https://leetcode.com/problems/balanced-binary-tree/,https://www.codingninjas.com/studio/problems/is-height-balanced-binary-tree_975497?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Diameter of Binary Tree,https://takeuforward.org/data-structure/calculate-the-diameter-of-a-binary-tree/,https://leetcode.com/problems/diameter-of-binary-tree/,https://www.codingninjas.com/studio/problems/diameter-of-binary-tree_920552?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum path sum,https://takeuforward.org/data-structure/maximum-sum-path-in-binary-tree/,https://leetcode.com/problems/binary-tree-maximum-path-sum/,https://www.codingninjas.com/studio/problems/maximum-sum-path-of-a-binary-tree._1214968?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if two trees are identical or…,https://takeuforward.org/data-structure/check-if-two-trees-are-identical/,https://leetcode.com/problems/same-tree/,https://www.codingninjas.com/studio/problems/check-identical-trees_799364?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Zig Zag Traversal of Binary Tree,https://takeuforward.org/data-structure/zig-zag-traversal-of-binary-tree/,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,https://www.codingninjas.com/studio/problems/zigzag-binary-tree-traversal_920532?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Boundary Traversal of Binary Tree,https://takeuforward.org/data-structure/boundary-traversal-of-a-binary-tree/,https://leetcode.com/problems/boundary-of-binary-tree/,https://www.codingninjas.com/studio/problems/boundary-traversal-of-binary-tree_790725?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Vertical Order Traversal of Binary …,https://takeuforward.org/data-structure/vertical-order-traversal-of-binary-tree/,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,https://www.codingninjas.com/studio/problems/vertical-order-traversal_3622711?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Top View of Binary Tree,https://takeuforward.org/data-structure/top-view-of-a-binary-tree/,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1,https://www.codingninjas.com/studio/problems/top-view-of-binary-tree_799401?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Bottom View of Binary Tree,https://takeuforward.org/data-structure/bottom-view-of-a-binary-tree/,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,https://www.codingninjas.com/studio/problems/bottom-view-of-binary-tree_893110?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Right/Left View of Binary Tree,https://takeuforward.org/data-structure/right-left-view-of-binary-tree/,https://leetcode.com/problems/binary-tree-right-side-view/,https://www.codingninjas.com/studio/problems/left-view-of-binary-tree_625707?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Symmetric Binary Tree,https://takeuforward.org/data-structure/check-for-symmetrical-binary-tree/,https://leetcode.com/problems/symmetric-tree/,https://www.codingninjas.com/studio/problems/symmetric-tree_981177?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Root to Node Path in Binary Tree,https://takeuforward.org/data-structure/print-root-to-node-path-in-a-binary-tree/,,https://www.codingninjas.com/studio/problems/all-root-to-leaf-paths-in-binary-tree._983599?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
LCA in Binary Tree,https://takeuforward.org/data-structure/lowest-common-ancestor-for-two-given-nodes/,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,https://www.codingninjas.com/studio/problems/lca-of-binary-tree_920541?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum width of a Binary Tree,https://takeuforward.org/data-structure/maximum-width-of-a-binary-tree/,https://leetcode.com/problems/maximum-width-of-binary-tree/,https://www.codingninjas.com/studio/problems/maximum-width-in-binary-tree_763671?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check for Children Sum Property,https://takeuforward.org/data-structure/check-for-children-sum-property-in-a-binary-tree/,,https://www.codingninjas.com/studio/problems/children-sum-property_8357239?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print all the Nodes at a distance o…,,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,https://www.codingninjas.com/studio/problems/print-nodes-at-distance-k-from-a-given-node_842560?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum time taken to BURN the Bina…,,,https://www.codingninjas.com/studio/problems/time-to-burn-tree_1469067?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count total Nodes in a COMPLETE Bin…,https://takeuforward.org/binary-tree/count-number-of-nodes-in-a-binary-tree/,https://leetcode.com/problems/count-complete-tree-nodes/,https://www.codingninjas.com/studio/problems/nodes-in-complete-binary-tree_1281151?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Requirements needed to construct a …,,,https://www.codingninjas.com/studio/problems/unique-binary-tree_8180906?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Construct Binary Tree from inorder …,https://takeuforward.org/data-structure/construct-a-binary-tree-from-inorder-and-preorder-traversal/,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,https://www.codingninjas.com/studio/problems/construct-binary-tree-from-inorder-and-preorder-traversal_920539?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Construct the Binary Tree from Post…,https://takeuforward.org/data-structure/construct-binary-tree-from-inorder-and-postorder-traversal/,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,https://www.codingninjas.com/studio/problems/construct-binary-tree-from-inorder-and-postorder-traversal_1266106?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Serialize and deserialize Binary Tr…,https://takeuforward.org/data-structure/serialize-and-deserialize-a-binary-tree/,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,https://www.codingninjas.com/studio/problems/serialize-and-deserialize-binary-tree_920328?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Morris Preorder Traversal of a Bina…,https://takeuforward.org/data-structure/morris-preorder-traversal-of-a-binary-tree/,https://leetcode.com/problems/binary-tree-inorder-traversal/,https://www.codingninjas.com/studio/problems/preorder-binary-tree_5948?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Morris Inorder Traversal of a Binar…,https://takeuforward.org/data-structure/morris-inorder-traversal-of-a-binary-tree/,https://leetcode.com/problems/binary-tree-inorder-traversal/,https://www.codingninjas.com/studio/problems/inorder-traversal_3839605?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Flatten Binary Tree to LinkedList,https://takeuforward.org/data-structure/flatten-binary-tree-to-linked-list/,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,https://www.codingninjas.com/studio/problems/flatten-binary-tree-to-linked-list_1112615?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
