Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,https://leetcode.com/problems/powx-n/,https://www.codingninjas.com/studio/problems/power-of-numbers_8157729?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Introduction to Bit Manipulation [T…,,,https://www.codingninjas.com/studio/problems/bit-manipulation_8142533?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if the i-th bit is set or not,,,https://www.codingninjas.com/studio/problems/check-whether-k-th-bit-is-set-or-not_5026446?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if a number is odd or not,,,https://www.codingninjas.com/codestudio/problems/odd-even_7993579?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if a number is power of 2 or …,,https://leetcode.com/problems/power-of-two/,https://www.codingninjas.com/studio/problems/power-of-two_893061?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count the number of set bits,,,https://www.codingninjas.com/studio/problems/count-total-set-bits_784?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Set/Unset the rightmost unset bit,,,https://www.codingninjas.com/studio/problems/set-the-rightmost-unset-bit_8160456?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Swap two numbers,,,https://www.codingninjas.com/studio/problems/swap-two-numbers_1380853?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Divide two integers without using m…,,https://leetcode.com/problems/divide-two-integers/,https://www.codingninjas.com/studio/problems/-divide-two-integers_1112617?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count number of bits to be flipped …,,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,https://www.codingninjas.com/studio/problems/flip-bits_8160405?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the number that appears odd nu…,,https://leetcode.com/problems/single-number/,https://www.codingninjas.com/studio/problems/one-odd-occurring_4606074?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Power Set,,https://leetcode.com/problems/subsets/,https://www.codingninjas.com/studio/problems/subsequences-of-string_985087?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find xor of numbers from L to R,,,https://www.codingninjas.com/studio/problems/l-to-r-xor_8160412?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the two numbers appearing odd …,,,https://www.codingninjas.com/studio/problems/two-numbers-with-odd-occurrences_8160466?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print Prime Factors of a Number,,,https://www.codingninjas.com/studio/problems/prime-factorisation_1760849?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
All Divisors of a Number,,,https://www.codingninjas.com/studio/problems/print-all-divisors-of-a-number_1164188?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sieve of Eratosthenes,,https://leetcode.com/problems/count-primes/,https://www.codingninjas.com/studio/problems/prime-factorisation_1760849?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find Prime Factorisation of a Numbe…,,,https://www.codingninjas.com/studio/problems/prime-factorisation_1760849?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
"Power(n, x)",,https://leetcode.com/problems/powx-n/,https://www.codingninjas.com/studio/problems/power-of-numbers_8157729?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
