Question_name,Striver_link,leetcode_link,other_link,gfg_link
,https://takeuforward.org/data-structure/count-square-submatrices-with-all-1s-dp-on-rectangles-dp-56/,https://leetcode.com/problems/count-square-submatrices-with-all-ones/,,
Dynamic Programming Introduction,https://takeuforward.org/data-structure/dynamic-programming-introduction/,,https://www.codingninjas.com/studio/problems/nth-fibonacci-number_74156?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Climbing Stars,https://takeuforward.org/data-structure/dynamic-programming-climbing-stairs/,https://leetcode.com/problems/climbing-stairs/,https://www.codingninjas.com/studio/problems/count-ways-to-reach-the-n-th-stairs_798650?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Frog Jump(DP-3),https://takeuforward.org/data-structure/dynamic-programming-frog-jump-dp-3/,,https://www.codingninjas.com/studio/problems/frog-jump_3621012?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Frog Jump with k distances(DP-4),https://takeuforward.org/data-structure/dynamic-programming-frog-jump-with-k-distances-dp-4/,,https://www.codingninjas.com/studio/problems/minimal-cost_8180930?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum sum of non-adjacent element…,https://takeuforward.org/data-structure/maximum-sum-of-non-adjacent-elements-dp-5/,,https://www.codingninjas.com/studio/problems/maximum-sum-of-non-adjacent-elements_843261?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
House Robber (DP 6),https://takeuforward.org/data-structure/dynamic-programming-house-robber-dp-6/,,https://www.codingninjas.com/studio/problems/house-robber-ii_839733?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Ninja's Training (DP 7),https://takeuforward.org/data-structure/dynamic-programming-ninjas-training-dp-7/,,https://www.codingninjas.com/studio/problems/ninja%E2%80%99s-training_3621003?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Grid Unique Paths : DP on Grids (DP…,https://takeuforward.org/data-structure/grid-unique-paths-dp-on-grids-dp8/,https://leetcode.com/problems/unique-paths/,https://www.codingninjas.com/studio/problems/unique-paths_1081470?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Grid Unique Paths 2 (DP 9),https://takeuforward.org/data-structure/grid-unique-paths-2-dp-9/,https://leetcode.com/problems/unique-paths-ii/,https://www.codingninjas.com/studio/problems/unique-paths-ii_977241?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum path sum in Grid (DP 10),https://takeuforward.org/data-structure/minimum-path-sum-in-a-grid-dp-10/,https://leetcode.com/problems/minimum-path-sum/,https://www.codingninjas.com/studio/problems/minimum-path-sum_985349?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum path sum in Triangular Grid…,https://takeuforward.org/data-structure/minimum-path-sum-in-triangular-grid-dp-11/,https://leetcode.com/problems/triangle/,https://www.codingninjas.com/studio/problems/triangle_1229398?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum/Maximum Falling Path Sum (D…,https://takeuforward.org/data-structure/minimum-maximum-falling-path-sum-dp-12/,https://leetcode.com/problems/minimum-falling-path-sum/,https://www.codingninjas.com/studio/problems/maximum-path-sum-in-the-matrix_797998?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
3-d DP : Ninja and his friends (DP-…,https://takeuforward.org/data-structure/3-d-dp-ninja-and-his-friends-dp-13/,,https://www.codingninjas.com/studio/problems/chocolate-pickup_3125885?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Subset sum equal to target (DP- 14),https://takeuforward.org/data-structure/subset-sum-equal-to-target-dp-14/,,https://www.codingninjas.com/studio/problems/subset-sum-equal-to-k_1550954?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Partition Equal Subset Sum (DP- 15),https://takeuforward.org/data-structure/partition-equal-subset-sum-dp-15/,https://leetcode.com/problems/partition-equal-subset-sum/,https://www.codingninjas.com/studio/problems/partition-equal-subset-sum-_892980?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
