Question_name,Striver_link,leetcode_link,other_link,gfg_link
,https://takeuforward.org/graph/strongly-connected-components-kosarajus-algorithm-g-54/,,https://www.codingninjas.com/studio/problems/count-strongly-connected-components-(kosaraju%E2%80%99s-algorithm)_1171151?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Graph and Types,https://takeuforward.org/graph/introduction-to-graph/,,https://www.codingninjas.com/studio/problems/counting-graphs_8357237?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Graph Representation | C++,https://takeuforward.org/graph/graph-representation-in-c/,,https://www.codingninjas.com/studio/problems/creating-and-printing_1214551?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Graph Representation | Java,,,https://www.codingninjas.com/studio/problems/creating-and-printing_1214551?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Connected Components | Logic Explan…,https://takeuforward.org/graph/connected-components-in-graphs/,,https://www.codingninjas.com/studio/problems/find-the-number-of-states_1377943?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
BFS,https://takeuforward.org/graph/breadth-first-search-bfs-level-order-traversal/,https://practice.geeksforgeeks.org/problems/bfs-traversal-of-graph/1,https://www.codingninjas.com/studio/problems/bfs-in-graph_973002?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
DFS,https://takeuforward.org/data-structure/depth-first-search-dfs/,https://practice.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1,https://www.codingninjas.com/studio/problems/dfs-traversal_630462?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of provinces (leetcode),https://takeuforward.org/data-structure/number-of-provinces/,"https://leetcode.com/problems/number-of-provinces/#:~:text=A%20province%20is%20a%20group,the%20total%20number%20of%20provinces.",https://www.codingninjas.com/studio/problems/find-the-number-of-states_1377943?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Connected Components Problem in Mat…,,,https://www.codingninjas.com/studio/problems/find-the-number-of-states_1377943?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Rotten Oranges,https://takeuforward.org/data-structure/rotten-oranges-min-time-to-rot-all-oranges-bfs/,https://leetcode.com/problems/rotting-oranges/,https://www.codingninjas.com/studio/problems/rotting-oranges_701655?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Flood fill,https://takeuforward.org/graph/flood-fill-algorithm-graphs/,https://leetcode.com/problems/flood-fill/,https://www.codingninjas.com/studio/problems/flood-fill-_1082141?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Cycle Detection in unirected Graph …,https://takeuforward.org/data-structure/detect-cycle-in-an-undirected-graph-using-bfs/,,https://www.codingninjas.com/studio/problems/detect-cycle-in-an-undirected-graph-_758967?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Cycle Detection in undirected Graph…,https://takeuforward.org/data-structure/detect-cycle-in-an-undirected-graph-using-dfs/,,https://www.codingninjas.com/studio/problems/detect-cycle-in-an-undirected-graph-_758967?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
0/1 Matrix (Bfs Problem),https://takeuforward.org/graph/distance-of-nearest-cell-having-1/,https://leetcode.com/problems/01-matrix/,https://www.codingninjas.com/studio/problems/distance-of-nearest-cell-having-1-in-a-binary-matrix_1169913?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Surrounded Regions (dfs),https://takeuforward.org/graph/surrounded-regions-replace-os-with-xs/,https://leetcode.com/problems/surrounded-regions/,https://www.codingninjas.com/studio/problems/replace-%E2%80%98o%E2%80%99-with-%E2%80%98x%E2%80%99_630517?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of Enclaves [flood fill impl…,https://takeuforward.org/graph/number-of-enclaves/,https://leetcode.com/problems/number-of-enclaves/,https://www.codingninjas.com/studio/problems/matrix-traps_8365440?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Word ladder - 1,https://takeuforward.org/graph/word-ladder-i-g-29/,https://leetcode.com/problems/word-ladder/,https://www.codingninjas.com/studio/problems/word-ladder_1102319?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Word ladder - 2,https://takeuforward.org/graph/g-30-word-ladder-ii/,https://leetcode.com/problems/word-ladder-ii/,https://www.codingninjas.com/codestudio/problems/shortest-transition-paths_8391015?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of Distinct Islands [dfs mul…,https://takeuforward.org/data-structure/number-of-islands/,https://leetcode.com/problems/number-of-distinct-islands-ii/,https://www.codingninjas.com/studio/problems/distinct-islands_630460?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Bipartite Graph (DFS),https://takeuforward.org/graph/bipartite-graph-dfs-implementation/,https://leetcode.com/problems/is-graph-bipartite/,https://www.codingninjas.com/studio/problems/check-bipartite-graph-_920551?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Cycle Detection in Directed Graph (…,,,https://www.codingninjas.com/studio/problems/detect-cycle-in-a-directed-graph_1062626?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Topo Sort,https://takeuforward.org/data-structure/topological-sort-algorithm-dfs-g-21/,,https://www.codingninjas.com/studio/problems/topological-sorting_973003?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kahn's Algorithm,https://takeuforward.org/data-structure/kahns-algorithm-topological-sort-algorithm-bfs-g-22/,,https://www.codingninjas.com/studio/problems/topological-sorting_973003?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Course Schedule - I,https://takeuforward.org/data-structure/course-schedule-i-and-ii-pre-requisite-tasks-topological-sort-g-24/,https://leetcode.com/problems/course-schedule/,https://www.codingninjas.com/studio/problems/course-schedule-ii_1069243?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Course Schedule - II,https://takeuforward.org/data-structure/course-schedule-i-and-ii-pre-requisite-tasks-topological-sort-g-24/,https://leetcode.com/problems/course-schedule-ii/,https://www.codingninjas.com/studio/problems/course-schedule-ii_1069243?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find eventual safe states,https://takeuforward.org/data-structure/find-eventual-safe-states-bfs-topological-sort-g-25/,https://leetcode.com/problems/find-eventual-safe-states/,https://www.codingninjas.com/studio/problems/safe-nodes-in-the-graph_1376703?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Alien dictionary,https://takeuforward.org/data-structure/alien-dictionary-topological-sort-g-26/,https://leetcode.com/problems/alien-dictionary/solution/,https://www.codingninjas.com/studio/problems/alien-dictionary_630423?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Shortest Path in UG with unit weigh…,https://takeuforward.org/data-structure/shortest-path-in-undirected-graph-with-unit-distance-g-28/,,https://www.codingninjas.com/codestudio/problems/single-source-shortest-path_8416371?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Shortest Path in DAG,https://takeuforward.org/data-structure/shortest-path-in-directed-acyclic-graph-topological-sort-g-27/,,https://www.codingninjas.com/codestudio/problems/shortest-path-in-dag_8381897?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Djisktra's Algorithm,https://takeuforward.org/data-structure/dijkstras-algorithm-using-set-g-33/,,https://www.codingninjas.com/studio/problems/dijkstra's-shortest-path_985358?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Why priority Queue is used in Djisk…,https://takeuforward.org/data-structure/dijkstras-algorithm-using-priority-queue-g-32/,,https://www.codingninjas.com/studio/problems/dijkstra's-shortest-path_985358?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Shortest path in a binary maze,https://takeuforward.org/data-structure/g-36-shortest-distance-in-a-binary-maze/,https://leetcode.com/problems/shortest-path-in-binary-matrix/,https://www.codingninjas.com/studio/problems/shortest-path-in-a-binary-maze_893065?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Path with minimum effort,https://takeuforward.org/data-structure/g-37-path-with-minimum-effort/,https://leetcode.com/problems/path-with-minimum-effort/,https://www.codingninjas.com/studio/problems/path-with-minimum-effort_1380958?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Cheapest flights within k stops,https://takeuforward.org/data-structure/g-38-cheapest-flights-within-k-stops/,https://leetcode.com/problems/cheapest-flights-within-k-stops/,https://www.codingninjas.com/studio/problems/saving-money_1171195?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Network Delay time,,https://leetcode.com/problems/network-delay-time/,https://www.codingninjas.com/studio/problems/network-delay-time_1382215?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
