Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,https://leetcode.com/problems/non-overlapping-intervals/,https://www.codingninjas.com/studio/problems/non-overlapping-intervals_3169341?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Assign Cookies,,https://leetcode.com/problems/assign-cookies/,https://www.codingninjas.com/codestudio/problems/assign-cookies_8390826?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Fractional Knapsack Problem,https://takeuforward.org/data-structure/fractional-knapsack-problem-greedy-approach/,https://practice.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1,https://www.codingninjas.com/studio/problems/fractional-knapsack_975286?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Greedy algorithm to find minimum nu…,https://takeuforward.org/data-structure/find-minimum-number-of-coins/,https://www.geeksforgeeks.org/find-minimum-number-of-coins-that-make-a-change/,https://www.codingninjas.com/studio/problems/find-minimum-number-of-coins_975277?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Lemonade Change,,https://leetcode.com/problems/lemonade-change/,https://www.codingninjas.com/codestudio/problems/lemonade-change_8224112?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Valid Paranthesis Checker,,https://leetcode.com/problems/valid-parenthesis-string/,https://www.codingninjas.com/studio/problems/balanced-parentheses_8162202?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
N meetings in one room,https://takeuforward.org/data-structure/n-meetings-in-one-room/,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room-1587115620/1,https://www.codingninjas.com/studio/problems/maximum-meetings_1062658?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Jump Game,,https://leetcode.com/problems/jump-game/,https://www.codingninjas.com/studio/problems/jump-game_3164697?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Jump Game 2,,https://leetcode.com/problems/jump-game-ii/,https://www.codingninjas.com/studio/problems/jump-game_893178?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum number of platforms require…,https://takeuforward.org/data-structure/minimum-number-of-platforms-required-for-a-railway/,https://practice.geeksforgeeks.org/problems/minimum-platforms-1587115620/1#,https://www.codingninjas.com/studio/problems/minimum-number-of-platforms_799400?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Job sequencing Problem,https://takeuforward.org/data-structure/job-sequencing-problem/,https://practice.geeksforgeeks.org/problems/job-sequencing-problem-1587115620/1#,https://www.codingninjas.com/studio/problems/job-sequencing-problem_1169460?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Candy,,https://leetcode.com/problems/candy/,https://www.codingninjas.com/studio/problems/candies_893290?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Program for Shortest Job First (or …,,,https://www.codingninjas.com/studio/problems/sjf_1172165?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Program for Least Recently Used (LR…,,,,
Insert Interval,https://takeuforward.org/?s=Insert+Interval,https://leetcode.com/problems/insert-interval/,https://www.codingninjas.com/studio/problems/-insert-interval_285893?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Merge Intervals,https://takeuforward.org/data-structure/merge-overlapping-sub-intervals/,https://leetcode.com/problems/merge-intervals/,https://www.codingninjas.com/studio/problems/merge-intervals_699917?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Non-overlapping Intervals,,https://leetcode.com/problems/non-overlapping-intervals/,https://www.codingninjas.com/studio/problems/non-overlapping-intervals_3169341?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
