Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,https://leetcode.com/problems/top-k-frequent-elements/,https://www.codingninjas.com/studio/problems/k-most-frequent-elements_3167808?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Introduction to Priority Queues usi…,,,https://www.codingninjas.com/studio/problems/implement-a-priority-queue-_1743878?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Min Heap and Max Heap Implementatio…,,,https://www.codingninjas.com/studio/problems/min-heap-implementation_5480527?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if an array represents a min-…,,,https://www.codingninjas.com/studio/problems/is-heap-possible-from-the-array?_8164274?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Convert min Heap to max Heap,,,https://www.codingninjas.com/codestudio/problems/convert-min-heap-to-max-heap_1381084?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kth largest element in an array [us…,https://takeuforward.org/data-structure/kth-largest-smallest-element-in-an-array/,https://leetcode.com/problems/kth-largest-element-in-an-array/,https://www.codingninjas.com/codestudio/problems/k-largest-elements_796005?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kth smallest element in an array [u…,https://takeuforward.org/data-structure/kth-largest-smallest-element-in-an-array/,,https://www.codingninjas.com/studio/problems/merge-k-sorted-arrays_975379?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sort K sorted array,,,,
Merge M sorted Lists,,https://leetcode.com/problems/merge-k-sorted-lists/,https://www.codingninjas.com/studio/problems/merge-k-sorted-lists_992772?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Replace each array element by its c…,https://takeuforward.org/data-structure/replace-elements-by-its-rank-in-the-array/,,https://www.codingninjas.com/studio/problems/replace-each-element-of-array-with-its-corresponding-rank_975384?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Task Scheduler,,https://leetcode.com/problems/task-scheduler/,https://www.codingninjas.com/studio/problems/task-scheduler_1070424?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Hands of Straights,,https://leetcode.com/problems/hand-of-straights/,https://www.codingninjas.com/studio/problems/groups-in-ninja-land._1459215?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Design twitter,,https://leetcode.com/problems/design-twitter/,https://www.codingninjas.com/codestudio/problems/design-twitter_8380711?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Connect `n` ropes with minimal cost,,,https://www.codingninjas.com/studio/problems/connect-n-ropes-with-minimum-cost_625783?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Kth largest element in a stream of …,,"https://leetcode.com/problems/kth-largest-element-in-a-stream/#:~:text=Implement%20KthLargest%20class%3A,largest%20element%20in%20the%20stream.",https://www.codingninjas.com/studio/problems/kth-largest-element-in-a-stream_800301?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum Sum Combination,,https://www.interviewbit.com/problems/maximum-sum-combinations/,https://www.codingninjas.com/studio/problems/median-in-a-stream_975268?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find Median from Data Stream,,https://leetcode.com/problems/find-median-from-data-stream/,https://www.codingninjas.com/studio/problems/median-in-a-stream_975268?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
K most frequent elements,,https://leetcode.com/problems/top-k-frequent-elements/,https://www.codingninjas.com/studio/problems/k-most-frequent-elements_3167808?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
