Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,https://leetcode.com/problems/expression-add-operators/,https://www.codingninjas.com/studio/problems/find-x-raised-to-power-n-_626560?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Recursive Implementation of atoi(),,https://leetcode.com/problems/string-to-integer-atoi/,https://www.codingninjas.com/studio/problems/implement-atoi-function_981270?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
"Pow(x, n)",https://takeuforward.org/data-structure/implement-powxn-x-raised-to-the-power-n/,https://leetcode.com/problems/powx-n/,https://www.codingninjas.com/studio/problems/find-x-raised-to-power-n-_626560?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count Good numbers,,https://leetcode.com/problems/count-good-numbers/,https://www.codingninjas.com/studio/problems/good-numbers_625508?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sort a stack using recursion,,,https://www.codingninjas.com/codestudio/problems/sort-stack_1229505?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Reverse a stack using recursion,,,https://www.codingninjas.com/studio/problems/reverse-stack-using-recursion_631875?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Generate all binary strings,,,https://www.codingninjas.com/studio/problems/-binary-strings-with-no-consecutive-1s._893001?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Generate Paranthesis,,https://leetcode.com/problems/generate-parentheses/,https://www.codingninjas.com/studio/problems/generate-all-parenthesis_920445?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print all subsequences/Power Set,https://takeuforward.org/data-structure/power-set-print-all-the-possible-subsequences-of-the-string/,https://leetcode.com/problems/subsets/,https://www.codingninjas.com/studio/problems/print-subsequences_8416366?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Learn All Patterns of Subsequences …,,,https://www.codingninjas.com/codestudio/problems/more-subsequence_8842355?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count all subsequences with sum K,,,https://www.codingninjas.com/studio/problems/subarrays-with-sum-%E2%80%98k'_6922076?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if there exists a subsequence…,,,https://www.codingninjas.com/studio/problems/subset-sum_630213?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Combination Sum,https://takeuforward.org/data-structure/combination-sum-1/,https://leetcode.com/problems/combination-sum/,https://www.codingninjas.com/studio/problems/combination-sum_981296?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Combination Sum-II,https://takeuforward.org/data-structure/combination-sum-ii-find-all-unique-combinations/,https://leetcode.com/problems/combination-sum-ii/,https://www.codingninjas.com/studio/problems/combination-sum-ii_1112622?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Subset Sum-I,https://takeuforward.org/data-structure/subset-sum-sum-of-all-subsets/,,https://www.codingninjas.com/studio/problems/subset-sum_3843086?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Subset Sum-II,https://takeuforward.org/data-structure/subset-ii-print-all-the-unique-subsets/,https://leetcode.com/problems/subsets-ii/,https://www.codingninjas.com/studio/problems/get-all-unique-subsets_624393?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Combination Sum - III,,https://leetcode.com/problems/combination-sum-iii/,https://www.codingninjas.com/studio/problems/combination-sum-iii_5038357?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Letter Combinations of a Phone numb…,,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,https://www.codingninjas.com/studio/problems/letter-phone_626178?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Palindrome Partitioning,https://takeuforward.org/data-structure/palindrome-partitioning/,https://leetcode.com/problems/palindrome-partitioning/,https://www.codingninjas.com/studio/problems/palindrome-partitioning_626181?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Word Search,https://takeuforward.org/data-structure/word-search-leetcode/,https://leetcode.com/problems/word-search/,https://www.codingninjas.com/studio/problems/word-search---l_892986?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
N Queen,https://takeuforward.org/data-structure/n-queen-problem-return-all-distinct-solutions-to-the-n-queens-puzzle/,https://leetcode.com/problems/n-queens/,https://www.codingninjas.com/studio/problems/n-queens_696453?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Rat in a Maze,https://takeuforward.org/data-structure/rat-in-a-maze/,https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,https://www.codingninjas.com/studio/problems/rat-in-a-maze-_8842357?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Word Break,,https://leetcode.com/problems/word-break/,https://www.codingninjas.com/studio/problems/word-break-1_758963?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
M Coloring Problem,https://takeuforward.org/data-structure/m-coloring-problem/,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1#,https://www.codingninjas.com/studio/problems/m-coloring-problem_981273?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sudoko Solver,https://takeuforward.org/data-structure/sudoku-solver/,https://leetcode.com/problems/sudoku-solver/,https://www.codingninjas.com/studio/problems/sudoku-solver_8416969?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Expression Add Operators,,https://leetcode.com/problems/expression-add-operators/,https://www.codingninjas.com/studio/problems/find-x-raised-to-power-n-_626560?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
