Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,https://leetcode.com/problems/minimum-window-subsequence/,https://www.codingninjas.com/studio/problems/minimum-window-subsequence_2181133?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Substring Without Repeating…,https://takeuforward.org/data-structure/length-of-longest-substring-without-any-repeating-character/,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://www.codingninjas.com/studio/problems/longest-substring-without-repeating-characters_630418?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Max Consecutive Ones III,,https://leetcode.com/problems/max-consecutive-ones-iii/,https://www.codingninjas.com/studio/problems/maximum-consecutive-ones_892994?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Fruit Into Baskets,,,https://www.codingninjas.com/studio/problems/fruits-and-baskets_985356?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
longest repeating character replace…,,https://leetcode.com/problems/longest-repeating-character-replacement/,https://www.codingninjas.com/studio/problems/longest-repeating-substring_980523?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Binary subarray with sum,,https://leetcode.com/problems/binary-subarrays-with-sum/,https://www.codingninjas.com/studio/problems/count-substrings-with-k-ones_3128698?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count number of nice subarrays,,https://leetcode.com/problems/count-number-of-nice-subarrays/,https://www.codingninjas.com/studio/problems/count-distinct-subarrays-with-at-most-k-odd-elements_1069335?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of substring containing all …,,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,https://www.codingninjas.com/studio/problems/count-substring-with-abc_8160465?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum point you can obtain from c…,,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,https://www.codingninjas.com/codestudio/problems/maximum-points-from-cards_8391016?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Substring with At Most K Di…,,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,https://www.codingninjas.com/studio/problems/longest-substring-with-at-most-k-distinct-characters_2221410?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Subarray with k different integers,,https://leetcode.com/problems/subarrays-with-k-different-integers/,https://www.codingninjas.com/studio/problems/subarrays-with-at-most-%E2%80%98k%E2%80%99-distinct-values_1473804?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum Window Substring,,https://leetcode.com/problems/minimum-window-substring/,https://www.codingninjas.com/studio/problems/minimum-window-substring_1215004?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum Window Subsequence,,https://leetcode.com/problems/minimum-window-subsequence/,https://www.codingninjas.com/studio/problems/minimum-window-subsequence_2181133?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
