Question_name,Striver_link,leetcode_link,other_link,gfg_link
,https://takeuforward.org/data-structure/maximum-product-subarray-in-an-array/,https://leetcode.com/problems/maximum-product-subarray/,https://www.codingninjas.com/codestudio/problems/subarray-with-maximum-product_6890008?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Largest Element in an Array,https://takeuforward.org/data-structure/find-the-largest-element-in-an-array/,,https://www.codingninjas.com/codestudio/problems/largest-element-in-the-array-largest-element-in-the-array_5026279?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Second Largest Element in an Array …,https://takeuforward.org/data-structure/find-second-smallest-and-second-largest-element-in-an-array/,,https://www.codingninjas.com/codestudio/problems/ninja-and-the-second-order-elements_6581960?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if the array is sorted,https://takeuforward.org/data-structure/check-if-an-array-is-sorted/,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.",https://www.codingninjas.com/codestudio/problems/ninja-and-the-sorted-check_6581957?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Remove duplicates from Sorted array,https://takeuforward.org/data-structure/remove-duplicates-in-place-from-sorted-array/,"https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.",https://www.codingninjas.com/codestudio/problems/remove-duplicates-from-sorted-array_1102307?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Left Rotate an array by one place,https://takeuforward.org/data-structure/left-rotate-the-array-by-one/,https://leetcode.com/problems/rotate-array/,https://www.codingninjas.com/codestudio/problems/left-rotate-an-array-by-one_5026278?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Left rotate an array by D places,https://takeuforward.org/data-structure/rotate-array-by-k-elements/,https://leetcode.com/problems/rotate-array/,https://www.codingninjas.com/codestudio/problems/rotate-array_1230543?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Move Zeros to end,https://takeuforward.org/data-structure/move-all-zeros-to-the-end-of-the-array/,https://leetcode.com/problems/move-zeroes/,https://www.codingninjas.com/codestudio/problems/ninja-and-the-zero-s_6581958?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Linear Search,https://takeuforward.org/data-structure/linear-search-in-c/,,https://www.codingninjas.com/codestudio/problems/linear-search_6922070?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the Union,https://takeuforward.org/data-structure/union-of-two-sorted-arrays/,,https://www.codingninjas.com/codestudio/problems/sorted-array_6613259?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find missing number in an array,https://takeuforward.org/arrays/find-the-missing-number-in-an-array/,https://leetcode.com/problems/missing-number/,,
Maximum Consecutive Ones,https://takeuforward.org/data-structure/count-maximum-consecutive-ones-in-the-array/,https://leetcode.com/problems/max-consecutive-ones/,https://www.codingninjas.com/codestudio/problems/traffic_6682625?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
"Find the number that appears once, …",https://takeuforward.org/arrays/find-the-number-that-appears-once-and-the-other-numbers-twice/,https://leetcode.com/problems/single-number/,https://www.codingninjas.com/codestudio/problems/find-the-single-element_6680465?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest subarray with given sum K(p…,https://takeuforward.org/data-structure/longest-subarray-with-given-sum-k/,,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-sum-k_6682399?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest subarray with sum K (Positi…,https://takeuforward.org/arrays/longest-subarray-with-sum-k-postives-and-negatives/,,https://www.codingninjas.com/studio/problems/longest-subarray-with-sum-k_5713505?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
2Sum Problem,https://takeuforward.org/data-structure/two-sum-check-if-a-pair-with-given-sum-exists-in-array/,https://leetcode.com/problems/two-sum/,https://www.codingninjas.com/codestudio/problems/reading_6845742?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sort an array of 0's 1's and 2's,https://takeuforward.org/data-structure/sort-an-array-of-0s-1s-and-2s/,https://leetcode.com/problems/sort-colors/,https://www.codingninjas.com/codestudio/problems/sort-an-array-of-0s-1s-and-2s_892977?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Majority Element (>n/2 times),https://takeuforward.org/data-structure/find-the-majority-element-that-occurs-more-than-n-2-times/,https://leetcode.com/problems/majority-element/,https://www.codingninjas.com/codestudio/problems/majority-element_6783241?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
"Kadane's Algorithm, maximum subarra…",https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,https://leetcode.com/problems/maximum-subarray/,https://www.codingninjas.com/codestudio/problems/maximum-subarray-sum_630526?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print subarray with maximum subarra…,https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-sum-k_6682399?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Stock Buy and Sell,https://takeuforward.org/data-structure/stock-buy-and-sell/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://www.codingninjas.com/codestudio/problems/best-time-to-buy-and-sell-stock_6194560?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Rearrange the array in alternating …,https://takeuforward.org/arrays/rearrange-array-elements-by-sign/,https://leetcode.com/problems/rearrange-array-elements-by-sign/,https://www.codingninjas.com/codestudio/problems/alternate-numbers_6783445?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Next Permutation,https://takeuforward.org/data-structure/next_permutation-find-next-lexicographically-greater-permutation/,https://leetcode.com/problems/next-permutation/,https://www.codingninjas.com/codestudio/problems/next-greater-permutation_6929564?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Leaders in an Array problem,https://takeuforward.org/data-structure/leaders-in-an-array/,,https://www.codingninjas.com/codestudio/problems/superior-elements_6783446?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Consecutive Sequence in an …,https://takeuforward.org/data-structure/longest-consecutive-sequence-in-an-array/,https://leetcode.com/problems/longest-consecutive-sequence/solution/,https://www.codingninjas.com/codestudio/problems/longest-successive-elements_6811740?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Set Matrix Zeros,https://takeuforward.org/data-structure/set-matrix-zero/,https://leetcode.com/problems/set-matrix-zeroes/,https://www.codingninjas.com/codestudio/problems/zero-matrix_1171153?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Rotate Matrix by 90 degrees,https://takeuforward.org/data-structure/rotate-image-by-90-degree/,https://leetcode.com/problems/rotate-image/,https://www.codingninjas.com/codestudio/problems/rotate-the-matrix_6825090?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Print the matrix in spiral manner,https://takeuforward.org/data-structure/spiral-traversal-of-matrix/,https://leetcode.com/problems/spiral-matrix/,https://www.codingninjas.com/codestudio/problems/spiral-matrix_6922069?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count subarrays with given sum,https://takeuforward.org/arrays/count-subarray-sum-equals-k/,https://leetcode.com/problems/subarray-sum-equals-k/,https://www.codingninjas.com/studio/problems/subarray-sums-i_1467103?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Pascal's Triangle,https://takeuforward.org/data-structure/program-to-generate-pascals-triangle/,https://leetcode.com/problems/pascals-triangle/,https://www.codingninjas.com/codestudio/problems/print-pascal-s-triangle_6917910?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Majority Element (n/3 times),https://takeuforward.org/data-structure/majority-elementsn-3-times-find-the-elements-that-appears-more-than-n-3-times-in-the-array/,https://leetcode.com/problems/majority-element-ii/,https://www.codingninjas.com/codestudio/problems/majority-element_6915220?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
3-Sum Problem,https://takeuforward.org/data-structure/3-sum-find-triplets-that-add-up-to-a-zero/,https://leetcode.com/problems/3sum/,https://www.codingninjas.com/codestudio/problems/three-sum_6922132?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
4-Sum Problem,https://takeuforward.org/data-structure/4-sum-find-quads-that-add-up-to-a-target-value/,https://leetcode.com/problems/4sum/,https://www.codingninjas.com/codestudio/problems/4sum_5713771?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Largest Subarray with 0 Sum,https://takeuforward.org/data-structure/length-of-the-longest-subarray-with-zero-sum/,,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-zero-sum_6783450?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count number of subarrays with give…,https://takeuforward.org/data-structure/count-the-number-of-subarrays-with-given-xor-k/,https://www.interviewbit.com/problems/subarray-with-given-xor/,https://www.codingninjas.com/codestudio/problems/subarrays-with-xor-k_6826258?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Merge Overlapping Subintervals,https://takeuforward.org/data-structure/merge-overlapping-sub-intervals/,https://leetcode.com/problems/merge-intervals/,https://www.codingninjas.com/codestudio/problems/merge-all-overlapping-intervals_6783452?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Merge two sorted arrays without ext…,https://takeuforward.org/data-structure/merge-two-sorted-arrays-without-extra-space/,https://leetcode.com/problems/merge-sorted-array/,https://www.codingninjas.com/codestudio/problems/merge-two-sorted-arrays-without-extra-space_6898839?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Find the repeating and missing numb…,https://takeuforward.org/data-structure/find-the-repeating-and-missing-numbers/,,https://www.codingninjas.com/codestudio/problems/missing-and-repeating-numbers_6828164?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count Inversions,https://takeuforward.org/data-structure/count-inversions-in-an-array/,,https://www.codingninjas.com/codestudio/problems/number-of-inversions_6840276?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Reverse Pairs,https://takeuforward.org/data-structure/count-reverse-pairs/,https://leetcode.com/problems/reverse-pairs/,https://www.codingninjas.com/codestudio/problems/team-contest_6840309?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum Product Subarray,https://takeuforward.org/data-structure/maximum-product-subarray-in-an-array/,https://leetcode.com/problems/maximum-product-subarray/,https://www.codingninjas.com/codestudio/problems/subarray-with-maximum-product_6890008?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
