Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,https://leetcode.com/problems/lfu-cache/,https://www.codingninjas.com/codestudio/problems/lfu-cache_8381892?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Stack using Arrays,https://takeuforward.org/data-structure/implement-stack-using-array/,,https://www.codingninjas.com/studio/problems/stack-implementation-using-array_3210209?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Queue using Arrays,https://takeuforward.org/data-structure/implement-queue-using-array/,,https://www.codingninjas.com/codestudio/problems/implement-queue-using-arrays_8390825?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Stack using Queue,https://takeuforward.org/data-structure/implement-stack-using-single-queue/,https://leetcode.com/problems/implement-stack-using-queues/,https://www.codingninjas.com/studio/problems/stack-using-queue_795152?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Queue using Stack,https://takeuforward.org/data-structure/implement-queue-using-stack/,https://leetcode.com/problems/implement-queue-using-stacks/,https://www.codingninjas.com/studio/problems/day-25-:-queue-using-stack_799482?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement stack using Linkedlist,https://takeuforward.org/data-structure/implement-stack-using-linked-list/,,https://www.codingninjas.com/studio/problems/implement-stack-with-linked-list_1279905?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement queue using Linkedlist,https://takeuforward.org/data-structure/implement-queue-using-linked-list/,,https://www.codingninjas.com/codestudio/problems/implement-queue-using-linked-list_8161235?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check for balanced paranthesis,https://takeuforward.org/data-structure/check-for-balanced-parentheses/,https://leetcode.com/problems/valid-parentheses/,https://www.codingninjas.com/studio/problems/valid-parentheses_795104?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Min Stack,https://takeuforward.org/data-structure/implement-min-stack-o2n-and-on-space-complexity/,https://leetcode.com/problems/min-stack/,https://www.codingninjas.com/studio/problems/min-stack_3843991?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Infix to Postfix Conversion using S…,https://takeuforward.org/data-structure/infix-to-postfix/,,https://www.codingninjas.com/studio/problems/day-23-:-infix-to-postfix-_1382146?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Prefix to Infix Conversion,,,https://www.codingninjas.com/studio/problems/prefix-to-infix_1215000?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Prefix to Postfix Conversion,,,https://www.codingninjas.com/codestudio/problems/convert-prefix-to-postfix_8391014?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Postfix to Prefix Conversion,,,https://www.codingninjas.com/studio/problems/postfix-to-prefix_1788455?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Postfix to Infix,,,https://www.codingninjas.com/codestudio/problems/postfix-to-infix_8382386?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Convert Infix To Prefix Notation,https://takeuforward.org/data-structure/infix-to-prefix/,,https://www.codingninjas.com/studio/problems/day-23-:-infix-to-postfix-_1382146?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Next Greater Element,https://takeuforward.org/data-structure/next-greater-element-using-stack/,https://leetcode.com/problems/next-greater-element-i/,https://www.codingninjas.com/studio/problems/next-greater-element_670312?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Next Greater Element 2,,https://leetcode.com/problems/next-greater-element-ii/,https://www.codingninjas.com/studio/problems/next-greater-element-ii_6212757?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Next Smaller Element,,https://www.interviewbit.com/problems/nearest-smaller-element/,https://www.codingninjas.com/studio/problems/immediate-smaller-element-_1062597?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Number of NGEs to the right,,,https://www.codingninjas.com/studio/problems/count-of-greater-elements-to-the-right_8365436?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Trapping Rainwater,https://takeuforward.org/data-structure/trapping-rainwater/,https://leetcode.com/problems/trapping-rain-water/,https://www.codingninjas.com/studio/problems/trapping-rain-water_630519?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sum of subarray minimum,,https://leetcode.com/problems/sum-of-subarray-minimums/,https://www.codingninjas.com/codestudio/problems/sum-of-subarray-minimums_8365431?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Asteroid Collision,,https://leetcode.com/problems/asteroid-collision/,https://www.codingninjas.com/studio/problems/asteroid-collision_977232?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sum of subarray ranges,,https://leetcode.com/problems/sum-of-subarray-ranges/,https://www.codingninjas.com/studio/problems/subarray-range-sum_8365419?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Remove k Digits,,https://leetcode.com/problems/remove-k-digits/,https://www.codingninjas.com/studio/problems/remove-k-digits_1461221?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Largest rectangle in a histogram,https://takeuforward.org/data-structure/area-of-largest-rectangle-in-histogram/,https://leetcode.com/problems/largest-rectangle-in-histogram/,https://www.codingninjas.com/studio/problems/largest-rectangle-in-a-histogram_1058184?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximal Rectangles,,https://leetcode.com/problems/maximal-rectangle/,https://www.codingninjas.com/studio/problems/maximum-size-rectangle-sub-matrix-with-all-1's_893017?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sliding Window maximum,https://takeuforward.org/data-structure/sliding-window-maximum/,https://leetcode.com/problems/sliding-window-maximum/,https://www.codingninjas.com/studio/problems/sliding-maximum-_701652?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Stock span problem,,https://leetcode.com/problems/online-stock-span/,https://www.codingninjas.com/studio/problems/stock-span_5243295?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
The Celebrity Problem,,https://leetcode.com/accounts/login/?next=/problems/find-the-celebrity/,https://www.codingninjas.com/studio/problems/the-celebrity-problem_982769?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
LRU cache (IMPORTANT),https://takeuforward.org/data-structure/implement-lru-cache/,https://leetcode.com/problems/lru-cache/,https://www.codingninjas.com/studio/problems/lru-cache-implementation_670276?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
LFU cache,,https://leetcode.com/problems/lfu-cache/,https://www.codingninjas.com/codestudio/problems/lfu-cache_8381892?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
