Question_name,Striver_link,leetcode_link,other_link,gfg_link
,,,https://www.codingninjas.com/studio/problems/count-palindromic-subsequences_1062696?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Remove outermost Paranthesis,,https://leetcode.com/problems/remove-outermost-parentheses/,https://www.codingninjas.com/codestudio/problems/maximum-nesting-depth-of-the-parentheses_8144741?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Reverse words in a given string / P…,https://takeuforward.org/data-structure/reverse-words-in-a-string/,https://leetcode.com/problems/reverse-words-in-a-string/,https://www.codingninjas.com/studio/problems/reverse-words-in-a-string_696444?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Largest odd number in a string,,https://leetcode.com/problems/largest-odd-number-in-string/,,
Longest Common Prefix,,https://leetcode.com/problems/longest-common-prefix/,https://www.codingninjas.com/studio/problems/longest-common-prefix_628874?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Isomorphic String,,https://leetcode.com/problems/isomorphic-strings/,https://www.codingninjas.com/studio/problems/isomorphic-strings-_1117636?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
check whether one string is a rotat…,,https://leetcode.com/problems/rotate-string/,https://www.codingninjas.com/studio/problems/check-if-one-string-is-a-rotation-of-another-string_1115683?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Check if two strings are anagram of…,https://takeuforward.org/data-structure/check-if-two-strings-are-anagrams-of-each-other/,"https://leetcode.com/problems/valid-anagram/#:~:text=Given%20two%20strings%20s%20and,the%20original%20letters%20exactly%20once.&text=Constraints%3A,.length%20%3C%3D%205%20*%2010",https://www.codingninjas.com/studio/problems/anagram-pairs_626517?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Sort Characters by frequency,,https://leetcode.com/problems/sort-characters-by-frequency/,https://www.codingninjas.com/studio/problems/sorting-characters-by-frequency_1263699?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Maximum Nesting Depth of Paranthesi…,,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,,
Roman Number to Integer and vice ve…,,https://leetcode.com/problems/roman-to-integer/,https://www.codingninjas.com/studio/problems/roman-numeral-to-integer_981308?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Implement Atoi,,https://leetcode.com/problems/string-to-integer-atoi/,https://www.codingninjas.com/studio/problems/implement-atoi-function_981270?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count Number of Substrings,,,https://www.codingninjas.com/studio/problems/count-with-k-different-characters_1214627?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest Palindromic Substring[Do it…,,https://leetcode.com/problems/longest-palindromic-substring/,,
Sum of Beauty of all substring,,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/,https://www.codingninjas.com/studio/problems/sum-of-beauty-of-all-substrings_8143656?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Reverse Every Word in A String,,https://leetcode.com/problems/reverse-words-in-a-string/,https://www.codingninjas.com/codestudio/problems/reverse-words_7037425?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Minimum number of bracket reversals…,,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,https://www.codingninjas.com/studio/problems/minimum-cost-to-make-string-valid_1115770?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count and say,,https://leetcode.com/problems/count-and-say/,https://www.codingninjas.com/studio/problems/look-and-say-sequence_668478?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Hashing In Strings | Theory,,,https://www.codingninjas.com/codestudio/problems/first-occurence-of-a-pattern-in-a-text_8416393?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Rabin Karp,,https://leetcode.com/problems/repeated-string-match/discuss/416144/Rabin-Karp-algorithm-C%2B%2B-implementation,https://www.codingninjas.com/codestudio/problems/stringmatch-rabincarp_1115738?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Z-Function,,https://leetcode.com/problems/implement-strstr/,https://www.codingninjas.com/codestudio/problems/pattern-searching-using-z-algorithm_8395752?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
KMP algo / LPS(pi) array,,https://leetcode.com/problems/implement-strstr/,https://www.codingninjas.com/codestudio/problems/search-pattern-kmp-algorithm_8416386?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Shortest Palindrome,,https://leetcode.com/problems/shortest-palindrome/,https://www.codingninjas.com/studio/problems/minimum-characters-for-palindrome_893000?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Longest happy prefix,,https://leetcode.com/problems/longest-happy-prefix/,https://www.codingninjas.com/studio/problems/longest-prefix-which-is-suffix_3146849?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
Count palindromic subsequence in gi…,,,https://www.codingninjas.com/studio/problems/count-palindromic-subsequences_1062696?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,
